Dataset,Classifier,Train %,Run,Train Acc,CV Acc,Test Acc,Best Params
Cod-RNA,SVM-RBF,80,2,0.9601,0.9546,0.9574,"{'clf__gamma': 'scale', 'clf__C': 10}"
Cod-RNA,RandomForest,80,2,0.9998,0.9549,0.9606,"{'clf__max_depth': None, 'clf__n_estimators': 500}"
Cod-RNA,XGBoost,80,2,0.9865,0.9629,0.9657,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Cod-RNA,NeuralNet,80,2,0.9654,0.9596,0.9626,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.0001}"
Cod-RNA,KNN,80,2,0.9998,0.9389,0.9436,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
Cod-RNA,SVM-RBF,80,3,0.9608,0.9562,0.9541,"{'clf__gamma': 'scale', 'clf__C': 10}"
Cod-RNA,RandomForest,80,3,0.9998,0.9546,0.9578,"{'clf__max_depth': None, 'clf__n_estimators': 500}"
Cod-RNA,XGBoost,80,3,0.9857,0.9634,0.9625,"{'clf__n_estimators': 400, 'clf__max_depth': 6, 'clf__learning_rate': 0.1}"
Cod-RNA,NeuralNet,80,3,0.9653,0.9591,0.9599,"{'clf__hidden_layer_sizes': (200, 100), 'clf__alpha': 0.001}"
Cod-RNA,KNN,80,3,0.9998,0.9384,0.941,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
